domain,dataset,n_eval,eval_unit,model,config,metric,value,source_doc
epilepsy,Helsinki_neonatal,15,recordings,REVE,identity_free,sens_at_1_FPday,0.085,docs/helsinki_neonatal_results.md
cogneuro,ERN_ds004883,162,subjects_LOSO,classical,normal,LOSO_BA,0.576,docs/nemar_cogneuro_extras_results.md
cogneuro,ERN_ds004883,162,subjects_LOSO,classical,identity_free,LOSO_BA,0.590,docs/nemar_cogneuro_extras_results.md
cogneuro,ERN_ds004883,162,subjects_LOSO,REVE,normal,LOSO_BA,0.694,docs/nemar_cogneuro_extras_results.md
cogneuro,ERN_ds004883,162,subjects_LOSO,REVE,identity_free,LOSO_BA,0.624,docs/nemar_cogneuro_extras_results.md
cogneuro,N170_ds002718,18,subjects_LOSO,REVE,normal,LOSO_BA,0.603,docs/nemar_cogneuro_extras_results.md
cogneuro,N170_ds002718,18,subjects_LOSO,REVE,identity_free,LOSO_BA,0.601,docs/nemar_cogneuro_extras_results.md
cogneuro,P3aud_ds003061,13,subjects_LOSO,classical,normal,LOSO_BA,0.611,docs/nemar_cogneuro_extras_results.md
cogneuro,P3aud_ds003061,13,subjects_LOSO,classical,identity_free,LOSO_BA,0.627,docs/nemar_cogneuro_extras_results.md
cogneuro,P3aud_ds003061,13,subjects_LOSO,REVE,normal,LOSO_BA,0.714,docs/nemar_cogneuro_extras_results.md
cogneuro,P3aud_ds003061,13,subjects_LOSO,REVE,identity_free,LOSO_BA,0.716,docs/nemar_cogneuro_extras_results.md
cogneuro,P3vis_ds006018,98,subjects_LOSO,classical,normal,LOSO_BA,0.592,docs/nemar_cogneuro_extras_results.md
cogneuro,P3vis_ds006018,98,subjects_LOSO,classical,identity_free,LOSO_BA,0.503,docs/nemar_cogneuro_extras_results.md
cogneuro,P3vis_ds006018,98,subjects_LOSO,REVE,normal,LOSO_BA,0.680,docs/nemar_cogneuro_extras_results.md
cogneuro,P3vis_ds006018,98,subjects_LOSO,REVE,identity_free,LOSO_BA,0.631,docs/nemar_cogneuro_extras_results.md
cogneuro,M3CV_condition,95,subjects_LOSO,classical,normal,LOSO_BA,0.593,docs/nemar_cogneuro_extras_results.md
cogneuro,M3CV_condition,95,subjects_LOSO,classical,identity_free,LOSO_BA,0.599,docs/nemar_cogneuro_extras_results.md
sleep,DOD_H,25,recordings,classical,normal,balanced_accuracy,0.699,docs/dreem_dod_sleep_results.md
sleep,DOD_H,25,recordings,classical,normal,cohens_kappa,0.657,docs/dreem_dod_sleep_results.md
sleep,DOD_H,25,recordings,classical,identity_free,balanced_accuracy,0.582,docs/dreem_dod_sleep_results.md
sleep,DOD_H,25,recordings,classical,identity_free,cohens_kappa,0.424,docs/dreem_dod_sleep_results.md
sleep,DOD_H,25,recordings,REVE,normal,balanced_accuracy,0.663,docs/dreem_dod_sleep_results.md
sleep,DOD_H,25,recordings,REVE,normal,cohens_kappa,0.521,docs/dreem_dod_sleep_results.md
sleep,DOD_H,25,recordings,REVE,identity_free,balanced_accuracy,0.579,docs/dreem_dod_sleep_results.md
sleep,DOD_H,25,recordings,REVE,identity_free,cohens_kappa,0.400,docs/dreem_dod_sleep_results.md
sleep,DOD_O,56,recordings,classical,normal,balanced_accuracy,0.649,docs/dreem_dod_sleep_results.md
sleep,DOD_O,56,recordings,classical,normal,cohens_kappa,0.555,docs/dreem_dod_sleep_results.md
sleep,DOD_O,56,recordings,classical,identity_free,balanced_accuracy,0.513,docs/dreem_dod_sleep_results.md
sleep,DOD_O,56,recordings,classical,identity_free,cohens_kappa,0.390,docs/dreem_dod_sleep_results.md
sleep,DOD_O,56,recordings,REVE,normal,balanced_accuracy,0.690,docs/dreem_dod_sleep_results.md
sleep,DOD_O,56,recordings,REVE,normal,cohens_kappa,0.572,docs/dreem_dod_sleep_results.md
sleep,DOD_O,56,recordings,REVE,identity_free,balanced_accuracy,0.608,docs/dreem_dod_sleep_results.md
sleep,DOD_O,56,recordings,REVE,identity_free,cohens_kappa,0.472,docs/dreem_dod_sleep_results.md
sleep,EarEEG,2,recordings,classical,normal,balanced_accuracy,0.642,docs/eareeg_sleep_results.md
sleep,EarEEG,2,recordings,classical,normal,cohens_kappa,0.495,docs/eareeg_sleep_results.md
sleep,EarEEG,2,recordings,classical,identity_free,balanced_accuracy,0.547,docs/eareeg_sleep_results.md
